安宁 太平 恒大金碧天下 装修好的3房|72|104|恒大金碧天下|3室2厅
昆明太平111平米，3房2卫价格只卖85万，精装修 经典|85|111|恒大金碧天下|3室2厅
昆明安宁 精装两房 明厨明卫 有证满两年 带家具家电|65|80|恒大金碧天下|2室2厅
3房两厅，70年产权住宅，只卖59万，低价！！！！|59|107|奥林匹克记者村|3室2厅
恒大金碧天下 欧式精装 3房2厅1厨2卫2阳新上|75|103|恒大金碧天下|3室2厅
昆明太平106平米3房2卫价格刚需赶紧跟上|63|106|恒大金碧天下|3室2厅
可看安宁湖 视野开阔  安静舒适|85|117|恒大金碧天下|3室2厅
昆明太平 刚需赶紧上车 环境优美新上|58|80|恒大金碧天下|2室2厅
恒大金碧天下 5室2厅 300万房主自荐|300|5|恒大金碧天下|叠拼别墅
昆华苑 4室2厅 81万|81|160|昆华苑|4室2厅
恒大金碧天下 1室1厅 40万|40|51|恒大金碧天下|1室1厅
丽景嘉园92.8平2室2厅63万|63|92|丽景嘉园|2室2厅
恒大金碧天下    三室两厅   环境优美|75|105|恒大金碧天下|3室2厅
恒大金碧天下 107平米 大三房 明厨明卫明卧新上|66|107|恒大金碧天下|3室2厅
金色理想 3室2厅 85万新上|85|109|金色理想|3室2厅
恒大金碧天下 2室1厅 50万新上|50|86|恒大金碧天下|2室1厅
恒大金碧天下   交通便利 采光好  配套齐全|68|80|恒大金碧天下|2室2厅
安宁太平新城 恒大金碧天下 精装联排别墅 带80平花园|230|3|恒大金碧天下|联排别墅
奥林匹克记者村 2室2厅 65万|65|110|奥林匹克记者村|2室2厅
房子是精装修，南向采光好，适合小两口|62|80|恒大金碧天下|2室1厅
恒大金碧天下 3室2厅 239万|239|3|恒大金碧天下|联排别墅
伊皇晶座       3室2厅1厨1卫|83|114|伊皇郡园|3室2厅
恒大金碧天下  五室两厅  视野宽阔   采光好|246|5|恒大金碧天下|联排别墅
恒大金碧天下   三室两厅   环境优美|205|3|恒大金碧天下|联排别墅
恒大金碧天下   五室一书房三卫   双拼别墅|430|5|恒大金碧天下|双拼别墅
恒大金碧天下 3室2厅 66万|66|109|恒大金碧天下|3室2厅
恒大金碧天下 3室2厅 90万|90|131|恒大金碧天下|3室2厅
万辉星城蓝山郡 4室2厅 150万|150|128|万辉星城蓝山郡|4室2厅
恒大金碧天下 新出联排别墅 全新毛坯 带120平前后花园|170|5|恒大金碧天下|联排别墅
恒大金碧天下    三室两厅    环境优美|68|113|恒大金碧天下|3室2厅
安宁恒大金碧天下，联排别墅，带120平米左右花园|360|4|恒大金碧天下|联排别墅
奥林匹克记者村 6室3厅 340万|340|6|奥林匹克记者村|联排别墅
恒大昆海湖 四室两厅二卫  180万 情景大洋房|180|173|恒大昆海湖|4室2厅
好房业主急售，欢迎有意这多多咨询。|62|80|恒大金碧天下|4室2厅
别墅房业主急售，忍痛割爱，有意请多多咨询|300|7|华夏澜山悦|联排别墅
山水融城 3室2厅 70万|70|116|山水融城|3室2厅
太平135平4房2卫价格只卖98万精装修房主基本没住过|98|135|恒大金碧天下|4室2厅
安宁 恒大金碧天下 装修好的3房 环境优美 适合养老|61|104|恒大金碧天下|3室2厅
安宁 恒大金碧天下 精装两房 诚心出售|60|83|恒大金碧天下|2室2厅
安宁 恒大金碧天下 装修好的 带前后花园|98|98|恒大金碧天下|2室2厅
安宁 恒大金碧天下 装修好的 带车库出售|116|128|恒大金碧天下|4室2厅
滇池高尔夫【玉龙湾】双十八洞 高尔夫山水坡端头别墅|750|7|俊发玉龙湾|双拼别墅
安宁市区精装四室带大阳台、满五有本|88|143|江东天然居|4室2厅
安宁 好房子 安静舒适  环境干净整洁|71|77|金色理想|2室2厅
可看安宁湖  安静舒适  视野开阔|73|108|恒大金碧天下|3室2厅
恒大金碧天下 3室2厅 75万|75|114|恒大金碧天下|3室2厅
昆明 安宁精装三房 低于市场价急售|88|128|恒大金碧天下|3室2厅
恒大金碧天下 安宁  精装修房|88|131|恒大金碧天下|3室2厅
恒大金碧天下  安宁  优质房|64|108|恒大金碧天下|3室2厅
恒大金碧天下 阔绰三房 环境优美 宜居优选|85|117|恒大金碧天下|3室2厅
恒大金碧天下 6室3厅 380万|380|6|恒大金碧天下|双拼别墅
安宁太平新区恒大金碧天下 精装2房 业主急售 随时看房|60|82|恒大金碧天下|2室2厅
安宁 太平 恒大金碧天下  111平93万|93|111|恒大金碧天下|3室2厅
安宁 恒大金碧天下 70年产权 证在手 满两年 可贷款|65|105|恒大金碧天下|3室2厅
文苑雅居 3室2厅 76万|76|102|文苑雅居|3室2厅
恒大金碧天下 3室2厅 70万|70|106|恒大金碧天下|3室2厅
恒大金碧天下 5室2厅 310万新上|310|188|恒大金碧天下|5室2厅
金色佳园3期 2室1厅 33.8万新上|33|58|金色佳园3期|2室1厅
恒大金碧天下 6室2厅 160万新上|160|160|恒大金碧天下|6室2厅
天华苑 5室2厅 146万新上|146|221|天华苑|5室2厅
恒大金碧天下 2室2厅 55万新上|55|80|恒大金碧天下|2室2厅
